Bezirk Tempelhof-Schˆneberg: Energieverbrauchs¸bersicht bezirklicher Geb‰ude f¸r 2010-2019;;;;;;;;;;;;;;;;
ID;Liegenschaft;Adresse;PLZ;Bauwerk;"Energieart
(W‰rmeverbrauch ist witterungsbereinigt)";Einheit;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
293;Schul- und Sportamt;Alarichstraﬂe 12-17;12105;Dienstgeb‰ude;Strom;kWh;0;0;0;8.822;40.696;40.946;47.620;46.000;44.704;44.682
1;Seniorendomizil Am Alboinplatz;Alboinplatz 17-18;12105;Seniorenwohnheim;W‰rme;kWh;344.782;368.203;388.908;318.925;374.817;336.773;358.496;393.417;439.702;398.356
1;Seniorendomizil Am Alboinplatz;Alboinplatz 17-18;12105;Seniorenwohnheim;Strom;kWh;34.265;10.307;16.045;15.742;15.777;15.824;32.285;23.185;12.870;15.298
2;Jugendfreizeiteinrichtung - Jugendcafe Am Dorfteich;Alt-Lichtenrade 103;12309;Jugendfreizeiteinrichtung;W‰rme;kWh;38.544;40.335;39.554;47.868;48.792;48.551;47.139;49.919;49.469;51.461
2;Jugendfreizeiteinrichtung - Jugendcafe Am Dorfteich;Alt-Lichtenrade 103;12309;Jugendfreizeiteinrichtung;Strom;kWh;6.499;6.685;6.574;6.556;6.724;6.698;1.460;5.496;26.155;5.220
282;Annedore-Leber-Schule;Alt-Lichtenrade 113-115;12309;Schulgeb‰ude (Filiale);W‰rme;kWh;111.221;0;0;0;0;0;0;0;0;0
282;Annedore-Leber-Schule;Alt-Lichtenrade 113-115;12309;Schulgeb‰ude (Filiale);Strom;kWh;9.142;0;0;0;0;0;0;0;0;0
3;Seniorenheim Rudolf-Wissell-Haus;Alt-Mariendorf 24-26;12107;Wohnhaus 1;W‰rme;kWh;488.792;546.912;474.788;502.685;687.819;384.058;542.645;548.096;544.528;569.323
3;Seniorenheim Rudolf-Wissell-Haus;Alt-Mariendorf 24-26;12107;Wohnhaus 1;Strom;kWh;36.858;37.372;35.707;38.771;35.076;37.164;33.995;37.588;33.120;37.409
4;Seniorenheim Rudolf-Wissell-Haus;Alt-Mariendorf 24-26;12107;Wohnhaus 2;W‰rme;kWh;45.759;51.200;44.448;47.060;64.391;35.954;50.801;51.311;50.977;53.298
4;Seniorenheim Rudolf-Wissell-Haus;Alt-Mariendorf 24-26;12107;Wohnhaus 2;Strom;kWh;3.450;3.499;3.343;3.630;3.284;3.479;3.183;3.519;3.101;3.502
5;Musikschule / Heimatmuseum ;Alt-Mariendorf 43;12107;Museum;W‰rme;kWh;121.166;160.109;148.938;86.348;92.707;161.576;141.108;135.289;143.976;120.764
5;Musikschule / Heimatmuseum ;Alt-Mariendorf 43;12107;Museum;Strom;kWh;7.938;6.818;3.344;2.803;6.373;5.204;5.064;5.157;4.380;5.883
7;Solling-Schule;Alt-Marienfelde 52;12277;Schulgeb‰ude;W‰rme;kWh;1.027.978;1.069.328;1.075.522;1.000.987;1.161.395;1.031.768;1.041.646;1.129.614;1.190.940;1.070.628
7;Solling-Schule;Alt-Marienfelde 52;12277;Schulgeb‰ude;Strom;kWh;148.766;127.537;135.997;139.453;146.636;127.521;133.441;142.020;137.747;132.493
12;Solling-Schule;Alt-Marienfelde 52;12277;Sporthalle;W‰rme;kWh;127.268;132.387;133.154;123.926;143.785;127.737;128.960;139.851;147.443;132.548
12;Solling-Schule;Alt-Marienfelde 52;12277;Sporthalle;Strom;kWh;18.418;15.790;16.837;17.265;18.154;15.788;16.521;17.583;17.054;16.403
13;Schule Am Berlinickeplatz;Alt-Tempelhof 53-57;12103;Schulgeb‰ude;W‰rme;kWh;471.222;434.310;450.961;477.166;419.063;419.691;459.642;498.139;500.703;515.769
