Bezirk Steglitz-Zehlendorf: Energieverbrauchsübersicht bezirklicher Liegenschaften 2017-2018-2019;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
lfd. Nr.;Liegenschaft;Adresse;PLZ;Art der Wärme-versorgung;Wärme-verbrauch witterungs-bereinigt [kWh];;;Strom-verbrauch [kWh];;;Bemerkungen;;;;;
;;;;;2017;2018;2019;2017;2018;2019;;;;;;
1;Helene-Lange-Gesamtschule - ehem. Frh. von Hünefeld-GS;Lauenburgerstr.114;12169;Fernwärme;;;;50.008;36.579;40.796;Wärmeversorgung aus Nr. 20;;;;;
2;Sachsenwald - Grundschule;Sachsenwaldstr. 20 - 21;12157;Fernwärme;551.772;562.927;496.817;71.498;67.066;87.262;;;;;;
3;Dunant- Grundschule;Gritznerstr.19 - 23;12163;Fernwärme;829.736;832.097;761.209;00;00;00;Stromversorgung aus Nr. 31;;;;;
4;Grundschule am Insulaner;Hanstedter Weg 11;12169;Fernwärme;578.760;659.452;584.117;72.100;72.300;71.700;;;;;;
5;Athene - Grundschule;Curtiusstr. 37 - 41;12205;Fernwärme;663.827;683.517;688.484;182.949;182.870;171.876;versorgt mit Strom externe Kita;;;;;
6;Alt Lankwitzer Grundschule;Schulstr.17-27;12247;Gas;644.240;585.420;469.799;53.911;48.222;50.900;;;;;;
7;Paul Schneider Grundschule;Seydlitzstr. 30 - 40;12249;Gas;1.112.850;1.170.800;1.093.607;185.693;180.968;174.816;;;;;;
8;Giesensdorfer  - Grundschule;Ostpreußendamm 63;12207;Gas;545.554;583.303;545.488;58.780;84.968;58.162;;;;;;
9;Kronach - Grundschule;Moltkestr. 24-26;12203;Gas;1.108.728;1.073.480;1.103.538;169.368;157.511;164.559;;;;;;
10;Grundschule unter den Kastanien;Kastanienstraße 7;12209;Gas;898.142;857.223;810.255;103.609;95.136;95.717;;;;;;
11;Clemens-Brentano Grundschule;Kommandantenstr. 83-84;12205;Fernwärme;478.851;497.134;482.585;42.876;45.055;44.376;;;;;;
